created_on,Consumption,Status
2022-04-16 00:03:40+00:00,4,Normal
2022-04-16 00:10:44+00:00,13,Normal
2022-04-16 00:13:41+00:00,0,Normal
2022-04-16 00:18:40+00:00,12,Normal
2022-04-16 00:23:42+00:00,0,Normal
2022-04-16 00:28:45+00:00,51,Normal
2022-04-16 00:33:41+00:00,8,Normal
2022-04-16 00:40:45+00:00,0,Normal
2022-04-16 00:43:42+00:00,0,Normal
2022-04-16 00:48:41+00:00,0,Normal
2022-04-16 00:53:42+00:00,0,Normal
2022-04-16 00:58:41+00:00,0,Normal
2022-04-16 01:03:43+00:00,0,Normal
2022-04-16 01:10:45+00:00,0,Normal
2022-04-16 01:13:42+00:00,0,Normal
2022-04-16 01:18:41+00:00,15,Normal
2022-04-16 01:23:41+00:00,80,Normal
2022-04-16 01:28:42+00:00,3,Normal
2022-04-16 01:33:41+00:00,35,Normal
2022-04-16 01:40:45+00:00,44,Normal
2022-04-16 01:43:42+00:00,9,Normal
2022-04-16 01:48:41+00:00,13,Normal
2022-04-16 01:53:40+00:00,31,Normal
2022-04-16 01:58:41+00:00,155,Normal
2022-04-16 02:03:43+00:00,41,Normal
2022-04-16 02:10:45+00:00,0,Normal
2022-04-16 02:13:42+00:00,11,Normal
2022-04-16 02:18:41+00:00,50,Normal
2022-04-16 02:23:39+00:00,21,Normal
2022-04-16 02:28:41+00:00,87,Normal
2022-04-16 02:33:41+00:00,77,Normal
2022-04-16 02:40:44+00:00,37,Normal
2022-04-16 02:43:41+00:00,48,Normal
2022-04-16 02:48:43+00:00,37,Normal
2022-04-16 02:53:40+00:00,0,Normal
2022-04-16 02:58:41+00:00,9,Normal
2022-04-16 03:03:42+00:00,11,Normal
2022-04-16 03:10:43+00:00,54,Normal
2022-04-16 03:13:41+00:00,84,Normal
2022-04-16 03:18:41+00:00,5,Normal
2022-04-16 03:23:41+00:00,0,Normal
2022-04-16 03:28:41+00:00,348,Normal
2022-04-16 03:33:40+00:00,0,Normal
2022-04-16 03:40:46+00:00,57,Normal
2022-04-16 03:43:40+00:00,27,Normal
2022-04-16 03:48:41+00:00,0,Normal
2022-04-16 03:53:40+00:00,0,Normal
2022-04-16 03:58:41+00:00,0,Normal
2022-04-16 04:03:41+00:00,0,Normal
2022-04-16 04:10:45+00:00,50,Normal
2022-04-16 04:13:42+00:00,0,Normal
2022-04-16 04:18:41+00:00,85,Normal
2022-04-16 04:23:40+00:00,95,Normal
2022-04-16 04:28:42+00:00,523,Normal
2022-04-16 04:33:41+00:00,536,Normal
2022-04-16 04:40:46+00:00,760,Normal
2022-04-16 04:43:41+00:00,312,Normal
2022-04-16 04:48:41+00:00,541,Normal
2022-04-16 04:53:42+00:00,541,Normal
2022-04-16 04:58:42+00:00,538,Normal
2022-04-16 05:03:43+00:00,532,Normal
2022-04-16 05:10:47+00:00,745,Normal
2022-04-16 05:13:41+00:00,311,Normal
2022-04-16 05:18:41+00:00,227,Normal
2022-04-16 05:23:40+00:00,0,Normal
2022-04-16 05:28:40+00:00,0,Normal
2022-04-16 05:33:42+00:00,0,Normal
2022-04-16 05:40:46+00:00,8,Normal
2022-04-16 05:43:40+00:00,0,Normal
2022-04-16 05:48:41+00:00,0,Normal
2022-04-16 05:53:40+00:00,5,Normal
2022-04-16 05:58:41+00:00,4,Normal
2022-04-16 06:03:40+00:00,212,Normal
2022-04-16 06:10:45+00:00,844,Normal
2022-04-16 06:13:40+00:00,64,Normal
2022-04-16 06:18:43+00:00,108,Normal
2022-04-16 06:23:41+00:00,140,Normal
2022-04-16 06:28:41+00:00,181,Normal
2022-04-16 06:33:40+00:00,99,Normal
2022-04-16 06:40:44+00:00,973,Anomaly
2022-04-16 06:43:41+00:00,499,Normal
2022-04-16 06:48:41+00:00,268,Normal
2022-04-16 06:53:41+00:00,100,Normal
2022-04-16 06:58:41+00:00,100,Normal
2022-04-16 07:03:41+00:00,425,Normal
2022-04-16 07:10:45+00:00,1099,Anomaly
2022-04-16 07:13:42+00:00,499,Normal
2022-04-16 07:18:42+00:00,227,Normal
2022-04-16 07:23:40+00:00,135,Normal
2022-04-16 07:28:41+00:00,452,Normal
2022-04-16 07:33:40+00:00,528,Normal
2022-04-16 07:40:45+00:00,752,Normal
2022-04-16 07:43:39+00:00,311,Normal
2022-04-16 07:48:41+00:00,527,Normal
2022-04-16 07:53:39+00:00,526,Normal
2022-04-16 07:58:39+00:00,520,Normal
2022-04-16 08:03:39+00:00,454,Normal
2022-04-16 08:10:45+00:00,717,Normal
2022-04-16 08:13:39+00:00,295,Normal
2022-04-16 08:18:39+00:00,443,Normal
2022-04-16 08:23:43+00:00,447,Normal
2022-04-16 08:28:42+00:00,516,Normal
2022-04-16 08:33:40+00:00,490,Normal
2022-04-16 08:40:47+00:00,745,Normal
2022-04-16 08:43:41+00:00,298,Normal
2022-04-16 08:48:41+00:00,279,Normal
2022-04-16 08:53:43+00:00,16,Normal
2022-04-16 08:58:41+00:00,85,Normal
2022-04-16 09:03:40+00:00,140,Normal
2022-04-16 09:10:44+00:00,161,Normal
2022-04-16 09:13:41+00:00,52,Normal
2022-04-16 09:18:40+00:00,860,Normal
2022-04-16 09:23:40+00:00,131,Normal
